./cpp_clockinfo_main-RPi4B-4096MiB-threads_4-LP64-ubuntu_20_10_64bit-g++_10_O3-libstdc++ . . .
cpp_clockinfo_main version: acpphint_0.1.23


is_steady:                           true
period 'resolution' :              1 ns
duration max        :   9.223372e+18 ns
now (from epoch)    :  2.0724509e+12 ns


main thread by itself:

Clock tick is not slow relative to execution:
no zero durations observed.

Of 2'000'000 near 'back to back now()' durations:

minimum duration                     :             55 ns
(to be subtracted out from activity durations)

target approx. min actvity duration  :          1'900 ns
(with min duration still included)

target with min duration subtracted  :          1'845 ns

Other information for reference:

small scale duration variability     :             19 ns
       189          6          4'723 0.99882850
       190         22          4'740 0.99883950
       191         44          4'741 0.99886150
       192         50          4'759 0.99888650
       193          9          4'760 0.99889100
       194         24          4'777 0.99890300
       195         54          4'778 0.99893000
       196         62          4'796 0.99896100
       197         15          4'797 0.99896850
       198         23          4'814 0.99898000
       199         68          4'815 0.99901400
       200         56          4'833 0.99904200
       201         13          4'834 0.99904850
       202         26          4'851 0.99906150
       203         71          4'852 0.99909700
       204         52          4'870 0.99912300
       205         20          4'871 0.99913300
       206         24          4'888 0.99914500
       207         51          4'889 0.99917050
       208         63          4'907 0.99920200
       209         20          4'908 0.99921200
       210         13          4'925 0.99921850
       211         46          4'926 0.99924150
       212         41          4'944 0.99926200
       213         21          4'945 0.99927250
       214         12          4'962 0.99927850
       215         57          4'963 0.99930700
       216         36          4'981 0.99932500
       217         25          4'982 0.99933750
       218         11          4'999 0.99934300
       219         52          5'000 0.99936900
       220         54          5'018 0.99939600
       221         33          5'019 0.99941250
       222          6          5'036 0.99941550
       223         58          5'037 0.99944450
       224         21          5'055 0.99945500
       225         27          5'056 0.99946850
       226          3          5'073 0.99947000
       227         53          5'074 0.99949650
       228         23          5'092 0.99950800
       229         33          5'093 0.99952450
       230         49          5'111 0.99954900
       231         22          5'129 0.99956000
       232         32          5'130 0.99957600
       233         39          5'148 0.99959550
       234          1          5'149 0.99959600
       235         27          5'166 0.99960950
       236         23          5'167 0.99962100
       237         28          5'185 0.99963500
       238         18          5'203 0.99964400
       239         20          5'204 0.99965400
       240         33          5'222 0.99967050
       241          2          5'223 0.99967150
       242          9          5'240 0.99967600
       243         24          5'241 0.99968800
       244         18          5'259 0.99969700
       245          2          5'260 0.99969800
       246         13          5'277 0.99970450
       247         17          5'278 0.99971300
       248         22          5'296 0.99972400
       249          5          5'297 0.99972650
       250         11          5'314 0.99973200
       251         10          5'315 0.99973700
       252         14          5'333 0.99974400
       253          1          5'334 0.99974450
       254          8          5'351 0.99974850
       255          9          5'352 0.99975300
       256         10          5'370 0.99975800
       257          2          5'371 0.99975900
       258          4          5'388 0.99976100
       259          6          5'389 0.99976400
       260          9          5'407 0.99976850
       261          5          5'408 0.99977100
       262          2          5'425 0.99977200
       263         11          5'426 0.99977750
       264          7          5'444 0.99978100
       265          3          5'445 0.99978250
       266          1          5'462 0.99978300
       267          7          5'463 0.99978650
       268          2          5'482 0.99978750
       269          2          5'499 0.99978850
       270          3          5'500 0.99979000
       271          3          5'518 0.99979150
       272          3          5'519 0.99979300
       273          7          5'537 0.99979650
       274          2          5'555 0.99979750
       275          2          5'556 0.99979850
       276          4          5'574 0.99980050
       277          2          5'592 0.99980150
       278          1          5'611 0.99980200
       279          2          5'629 0.99980300
       280          1          5'630 0.99980350
       281          1          5'666 0.99980400
       282          3          5'685 0.99980550
       283          1          5'703 0.99980600
       284          2          5'704 0.99980700
       285          2          5'722 0.99980800
       286          1          5'741 0.99980850
       287          2          5'759 0.99980950
       288          1          5'777 0.99981000
       289          1          5'796 0.99981050
       290          1          5'814 0.99981100
       291          1          5'815 0.99981150
       292          1          5'851 0.99981200
       293          1          5'852 0.99981250
       294          1          5'889 0.99981300
       295          1          5'907 0.99981350
       296          1          5'925 0.99981400
       297          1          5'945 0.99981450
       298          4          5'981 0.99981650
       299          1          6'000 0.99981700
       300          1          6'018 0.99981750
       301          1          6'203 0.99981800
       302          1          6'314 0.99981850
       303          1          6'315 0.99981900
       304          1          6'370 0.99981950
       305          1          6'389 0.99982000
       306          1          6'407 0.99982050
       307          2          6'426 0.99982150
       308          2          6'444 0.99982250
       309          1          6'445 0.99982300
       310          2          6'463 0.99982400
       311          1          6'499 0.99982450
       312          1          6'500 0.99982500
       313          2          6'518 0.99982600
       314          1          6'537 0.99982650
       315          1          6'555 0.99982700
       316          1          6'574 0.99982750
       317          1          6'593 0.99982800
       318          1          6'629 0.99982850
       319          1          6'648 0.99982900
       320          1          6'685 0.99982950
       321          1          6'722 0.99983000
       322          2          6'741 0.99983100
