./cpp_clockinfo_main-RPi4B-4096MiB-threads_4-LP64-ubuntu_20_10_64bit-g++_10_O3lto-libstdc++-cpulockdown . . .
cpp_clockinfo_main version: acpphint_0.1.23


is_steady:                           true
period 'resolution' :              1 ns
duration max        :   9.223372e+18 ns
now (from epoch)    :  7.7247937e+13 ns


main thread by itself:

Clock tick is not slow relative to execution:
no zero durations observed.

Of 2'000'000 near 'back to back now()' durations:

minimum duration                     :             55 ns
(to be subtracted out from activity durations)

target approx. min actvity duration  :          1'900 ns
(with min duration still included)

target with min duration subtracted  :          1'845 ns

Other information for reference:

small scale duration variability     :             19 ns
       190         25          4'703 0.99884300
       191         45          4'704 0.99886550
       192         44          4'722 0.99888750
       193         12          4'723 0.99889350
       194         20          4'740 0.99890350
       195         48          4'741 0.99892750
       196         55          4'759 0.99895500
       197         14          4'760 0.99896200
       198         28          4'777 0.99897600
       199         57          4'778 0.99900450
       200         53          4'796 0.99903100
       201         19          4'797 0.99904050
       202         18          4'814 0.99904950
       203         46          4'815 0.99907250
       204         53          4'833 0.99909900
       205         19          4'834 0.99910850
       206         12          4'851 0.99911450
       207         48          4'852 0.99913850
       208         59          4'870 0.99916800
       209         24          4'871 0.99918000
       210          8          4'888 0.99918400
       211         54          4'889 0.99921100
       212         50          4'907 0.99923600
       213         30          4'908 0.99925100
       214          9          4'925 0.99925550
       215         63          4'926 0.99928700
       216         37          4'944 0.99930550
       217         25          4'945 0.99931800
       218          8          4'962 0.99932200
       219         56          4'963 0.99935000
       220         50          4'981 0.99937500
       221         20          4'982 0.99938500
       222          6          4'999 0.99938800
       223         47          5'000 0.99941150
       224         40          5'018 0.99943150
       225         31          5'019 0.99944700
       226          1          5'036 0.99944750
       227         53          5'037 0.99947400
       228         28          5'055 0.99948800
       229         22          5'056 0.99949900
       230         57          5'074 0.99952750
       231         32          5'092 0.99954350
       232         25          5'093 0.99955600
       233         37          5'111 0.99957450
       234          1          5'112 0.99957500
       235         21          5'129 0.99958550
       236         21          5'130 0.99959600
       237         36          5'148 0.99961400
       238          2          5'149 0.99961500
       239         25          5'166 0.99962750
       240         25          5'167 0.99964000
       241         24          5'185 0.99965200
       242          4          5'186 0.99965400
       243         17          5'203 0.99966250
       244         14          5'204 0.99966950
       245         17          5'222 0.99967800
       246          5          5'223 0.99968050
       247          9          5'240 0.99968500
       248         26          5'241 0.99969800
       249         25          5'259 0.99971050
       250          2          5'260 0.99971150
       251          6          5'277 0.99971450
       252         17          5'278 0.99972300
       253          9          5'296 0.99972750
       254          7          5'297 0.99973100
       255          7          5'314 0.99973450
       256         16          5'315 0.99974250
       257         12          5'333 0.99974850
       258          1          5'334 0.99974900
       259          2          5'351 0.99975000
       260         15          5'352 0.99975750
       261          6          5'370 0.99976050
       262          4          5'371 0.99976250
       263          1          5'388 0.99976300
       264         13          5'389 0.99976950
       265          5          5'407 0.99977200
       266          6          5'408 0.99977500
       267          9          5'426 0.99977950
       268          4          5'444 0.99978150
       269          5          5'445 0.99978400
       270          3          5'462 0.99978550
       271          3          5'463 0.99978700
       272          2          5'481 0.99978800
       273          2          5'482 0.99978900
       274          3          5'500 0.99979050
       275          2          5'518 0.99979150
       276          2          5'519 0.99979250
       277          3          5'537 0.99979400
       278          8          5'555 0.99979800
       279          1          5'556 0.99979850
       280          1          5'574 0.99979900
       281          2          5'592 0.99980000
       282          1          5'593 0.99980050
       283          1          5'611 0.99980100
       284          1          5'630 0.99980150
       285          2          5'648 0.99980250
       286          1          5'666 0.99980300
       287          2          5'667 0.99980400
       288          1          5'685 0.99980450
       289          2          5'741 0.99980550
       290          1          5'759 0.99980600
       291          1          5'777 0.99980650
       292          1          5'778 0.99980700
       293          1          5'815 0.99980750
       294          1          5'833 0.99980800
       295          1          5'852 0.99980850
       296          1          5'871 0.99980900
       297          1          5'888 0.99980950
       298          3          5'926 0.99981100
       299          2          5'963 0.99981200
       300          1          5'981 0.99981250
       301          1          6'019 0.99981300
       302          1          6'092 0.99981350
       303          2          6'111 0.99981450
       304          3          6'148 0.99981600
       305          1          6'241 0.99981650
       306          1          6'259 0.99981700
       307          2          6'371 0.99981800
       308          1          6'389 0.99981850
       309          1          6'407 0.99981900
       310          1          6'408 0.99981950
       311          1          6'426 0.99982000
       312          1          6'445 0.99982050
       313          3          6'463 0.99982200
       314          2          6'481 0.99982300
       315          1          6'499 0.99982350
       316          2          6'500 0.99982450
       317          1          6'518 0.99982500
       318          2          6'519 0.99982600
       319          1          6'556 0.99982650
       320          1          6'574 0.99982700
       321          1          6'592 0.99982750
       322          2          6'611 0.99982850
       323          3          6'629 0.99983000
       324          1          6'648 0.99983050
       325          2          6'685 0.99983150
       326          1          6'703 0.99983200
       327          2          6'704 0.99983300
       328          2          6'722 0.99983400
       329          1          6'740 0.99983450
       330          5          6'759 0.99983700
       331          1          6'777 0.99983750
       332          1          6'778 0.99983800
       333          2          6'796 0.99983900
       334          1          6'797 0.99983950
       335          3          6'815 0.99984100
       336          1          6'833 0.99984150
       337          3          6'852 0.99984300
       338          2          6'870 0.99984400
       339          1          6'871 0.99984450
       340          1          6'925 0.99984500
       341          1          6'926 0.99984550
       342          1          6'944 0.99984600
       343          1          6'962 0.99984650
       344          1          6'963 0.99984700
       345          2          6'981 0.99984800
       346          1          6'982 0.99984850
       347          3          7'000 0.99985000
       348          4          7'018 0.99985200
       349          1          7'037 0.99985250
       350          2          7'055 0.99985350
       351          1          7'056 0.99985400
       352          3          7'074 0.99985550
       353          2          7'092 0.99985650
       354          3          7'093 0.99985800
       355          3          7'111 0.99985950
       356          1          7'129 0.99986000
       357          1          7'130 0.99986050
       358          5          7'148 0.99986300
       359          1          7'166 0.99986350
       360          1          7'167 0.99986400
       361          4          7'185 0.99986600
       362          1          7'186 0.99986650
       363          3          7'203 0.99986800
       364          6          7'204 0.99987100
       365          7          7'222 0.99987450
       366          1          7'223 0.99987500
       367          3          7'240 0.99987650
       368          1          7'259 0.99987700
       369          1          7'260 0.99987750
       370          5          7'278 0.99988000
       371          2          7'296 0.99988100
       372          2          7'297 0.99988200
       373          1          7'314 0.99988250
       374          2          7'315 0.99988350
       375          2          7'333 0.99988450
       376          2          7'351 0.99988550
       377          5          7'352 0.99988800
       378          3          7'370 0.99988950
       379          1          7'371 0.99989000
       380          2          7'388 0.99989100
       381          3          7'389 0.99989250
       382          3          7'407 0.99989400
       383          3          7'426 0.99989550
       384          4          7'444 0.99989750
       385          1          7'445 0.99989800
       386          2          7'462 0.99989900
       387          3          7'463 0.99990050
       388          1          7'481 0.99990100
       389          4          7'500 0.99990300
       390          4          7'518 0.99990500
       391          1          7'519 0.99990550
       392          5          7'537 0.99990800
       393          3          7'555 0.99990950
       394          2          7'556 0.99991050
       395          6          7'574 0.99991350
       396          2          7'592 0.99991450
       397          1          7'593 0.99991500
       398          5          7'611 0.99991750
       399          2          7'629 0.99991850
       400          2          7'630 0.99991950
       401          1          7'648 0.99992000
       402          1          7'667 0.99992050
       403          3          7'685 0.99992200
       404          1          7'703 0.99992250
       405          1          7'704 0.99992300
       406          2          7'722 0.99992400
       407          2          7'741 0.99992500
       408          1          7'760 0.99992550
       409          2          7'796 0.99992650
       410          2          7'814 0.99992750
       411          1          7'833 0.99992800
       412          2          7'834 0.99992900
       413          1          7'851 0.99992950
       414          1          7'852 0.99993000
       415          1          7'870 0.99993050
       416          1          7'963 0.99993100
       417          1          7'981 0.99993150
       418          1          7'982 0.99993200
       419          1          8'018 0.99993250
       420          1          8'056 0.99993300
       421          2          8'092 0.99993400
       422          1          8'129 0.99993450
       423          1          8'185 0.99993500
       424          1          8'388 0.99993550
       425          1          8'408 0.99993600
       426          1          8'444 0.99993650
       427          2          8'481 0.99993750
       428          1          8'482 0.99993800
       429          1          8'519 0.99993850
       430          1          8'555 0.99993900
       431          1          8'574 0.99993950
       432          1          8'648 0.99994000
       433          1          8'667 0.99994050
       434          1          8'778 0.99994100
       435          1          8'815 0.99994150
       436          1          8'963 0.99994200
       437          1          8'981 0.99994250
       438          2          9'037 0.99994350
       439          1          9'148 0.99994400
       440          1          9'222 0.99994450
       441          1          9'333 0.99994500
       442          1          9'407 0.99994550
       443          1          9'463 0.99994600
       444          1          9'648 0.99994650
       445          1          9'741 0.99994700
       446          2          9'778 0.99994800
       447          1          9'833 0.99994850
       448          1          9'834 0.99994900
       449          1          9'871 0.99994950
       450          1          9'944 0.99995000
       451          1         10'092 0.99995050
       452          1         10'111 0.99995100
       453          1         10'333 0.99995150
       454          1         10'351 0.99995200
       455          1         10'426 0.99995250
       456          1         10'500 0.99995300
       457          1         10'592 0.99995350
       458          1         10'611 0.99995400
       459          1         10'630 0.99995450
       460          1         10'648 0.99995500
       461          1         10'852 0.99995550
       462          1         10'944 0.99995600
       463          1         10'945 0.99995650
       464          1         10'963 0.99995700
       465          1         11'092 0.99995750
       466          2         11'111 0.99995850
       467          1         11'129 0.99995900
       468          1         11'148 0.99995950
       469          1         11'166 0.99996000
       470          2         11'167 0.99996100
       471          2         11'185 0.99996200
       472          2         11'296 0.99996300
       473          1         11'314 0.99996350
       474          3         11'370 0.99996500
       475          1         11'407 0.99996550
       476          1         11'444 0.99996600
       477          1         11'555 0.99996650
       478          1         11'593 0.99996700
       479          1         11'610 0.99996750
       480          1         11'667 0.99996800
       481          1         11'778 0.99996850
       482          1         11'815 0.99996900
       483          1         11'926 0.99996950
       484          1         11'944 0.99997000
       485          1         12'037 0.99997050
       486          2         12'055 0.99997150
       487          1         12'111 0.99997200
       488          1         12'166 0.99997250
