./cpp_clockinfo_main-RPi4B-4096MiB-threads_4-LP64-ubuntu_20_10_64bit-g++_10_O3-libstdc++-cpulockdown . . .
cpp_clockinfo_main version: acpphint_0.1.23


is_steady:                           true
period 'resolution' :              1 ns
duration max        :   9.223372e+18 ns
now (from epoch)    :  3.7089961e+13 ns


main thread by itself:

Clock tick is not slow relative to execution:
no zero durations observed.

Of 2'000'000 near 'back to back now()' durations:

minimum duration                     :             55 ns
(to be subtracted out from activity durations)

target approx. min actvity duration  :          1'900 ns
(with min duration still included)

target with min duration subtracted  :          1'845 ns

Other information for reference:

small scale duration variability     :             19 ns
       189         27          4'574 0.99921550
       190          2          4'575 0.99921650
       191         14          4'592 0.99922350
       192         23          4'593 0.99923500
       193         31          4'611 0.99925050
       194         19          4'629 0.99926000
       195         17          4'630 0.99926850
       196         27          4'648 0.99928200
       197          4          4'649 0.99928400
       198         17          4'666 0.99929250
       199         29          4'667 0.99930700
       200         27          4'685 0.99932050
       201          9          4'686 0.99932500
       202         11          4'703 0.99933050
       203         19          4'704 0.99934000
       204         33          4'722 0.99935650
       205          7          4'723 0.99936000
       206         18          4'740 0.99936900
       207         32          4'741 0.99938500
       208         27          4'759 0.99939850
       209          8          4'760 0.99940250
       210         12          4'777 0.99940850
       211         34          4'778 0.99942550
       212         29          4'796 0.99944000
       213         11          4'797 0.99944550
       214          8          4'814 0.99944950
       215         39          4'815 0.99946900
       216         21          4'833 0.99947950
       217         10          4'834 0.99948450
       218          4          4'851 0.99948650
       219         23          4'852 0.99949800
       220         30          4'870 0.99951300
       221         11          4'871 0.99951850
       222          3          4'888 0.99952000
       223         29          4'889 0.99953450
       224         16          4'907 0.99954250
       225         18          4'908 0.99955150
       226          2          4'925 0.99955250
       227         25          4'926 0.99956500
       228         23          4'944 0.99957650
       229         18          4'945 0.99958550
       230          4          4'962 0.99958750
       231         29          4'963 0.99960200
       232         16          4'981 0.99961000
       233         14          4'982 0.99961700
       234          1          4'999 0.99961750
       235         37          5'000 0.99963600
       236         15          5'018 0.99964350
       237         19          5'019 0.99965300
       238         24          5'037 0.99966500
       239         13          5'055 0.99967150
       240         10          5'056 0.99967650
       241         21          5'074 0.99968700
       242          7          5'092 0.99969050
       243         10          5'093 0.99969550
       244         22          5'111 0.99970650
       245          8          5'129 0.99971050
       246         12          5'130 0.99971650
       247         20          5'148 0.99972650
       248          2          5'149 0.99972750
       249          5          5'166 0.99973000
       250          9          5'167 0.99973450
       251         18          5'185 0.99974350
       252          3          5'186 0.99974500
       253          3          5'203 0.99974650
       254          9          5'204 0.99975100
       255          5          5'222 0.99975350
       256          3          5'223 0.99975500
       257          5          5'240 0.99975750
       258          3          5'241 0.99975900
       259          6          5'259 0.99976200
       260          2          5'260 0.99976300
       261          2          5'278 0.99976400
       262          4          5'296 0.99976600
       263          2          5'297 0.99976700
       264          3          5'314 0.99976850
