./cpp_clockinfo_main-RPi4B-8192MiB-threads_4-LP64-ubuntu_20_04_1_64bit-g++_9_O3-libstdc++-cpulockdown . . .
cpp_clockinfo_main version: acpphint_0.1.23


is_steady:                           true
period 'resolution' :              1 ns
duration max        :   9.223372e+18 ns
now (from epoch)    :  1.1478695e+13 ns


main thread by itself:

Clock tick is not slow relative to execution:
no zero durations observed.

Of 2'000'000 near 'back to back now()' durations:

minimum duration                     :             55 ns
(to be subtracted out from activity durations)

target approx. min actvity duration  :          1'900 ns
(with min duration still included)

target with min duration subtracted  :          1'845 ns

Other information for reference:

small scale duration variability     :             19 ns
       189          6          4'389 0.99981050
       190          2          4'407 0.99981150
       191          1          4'445 0.99981200
       192          5          4'463 0.99981450
       193          1          4'500 0.99981500
       194          1          4'518 0.99981550
       195          1          4'537 0.99981600
       196          1          4'555 0.99981650
       197          1          4'574 0.99981700
       198          1          4'611 0.99981750
       199          1          4'649 0.99981800
       200          1          4'759 0.99981850
       201          1          4'777 0.99981900
       202          1          4'834 0.99981950
       203          1          4'963 0.99982000
       204          1          5'000 0.99982050
       205          1          5'370 0.99982100
       206          1          5'389 0.99982150
       207          1          5'463 0.99982200
       208          2          5'611 0.99982300
       209          1          5'612 0.99982350
       210          1          5'666 0.99982400
       211          1          5'685 0.99982450
       212          1          5'703 0.99982500
       213          2          5'704 0.99982600
       214          1          5'759 0.99982650
       215          1          5'796 0.99982700
       216          1          5'797 0.99982750
       217          1          5'815 0.99982800
       218          2          5'833 0.99982900
       219          3          5'852 0.99983050
       220          2          5'870 0.99983150
       221          2          5'871 0.99983250
       222          1          5'888 0.99983300
       223          1          5'889 0.99983350
       224          3          5'907 0.99983500
       225          1          5'945 0.99983550
       226          1          5'962 0.99983600
       227          2          5'963 0.99983700
       228          2          5'981 0.99983800
       229          2          5'982 0.99983900
       230          5          6'000 0.99984150
       231          2          6'018 0.99984250
       232          3          6'037 0.99984400
       233          2          6'055 0.99984500
       234          3          6'056 0.99984650
       235          1          6'074 0.99984700
       236          4          6'092 0.99984900
       237          4          6'093 0.99985100
       238          2          6'111 0.99985200
       239          2          6'129 0.99985300
       240          5          6'130 0.99985550
       241          7          6'148 0.99985900
       242          1          6'166 0.99985950
       243          7          6'167 0.99986300
       244          8          6'185 0.99986700
       245          5          6'203 0.99986950
       246          7          6'204 0.99987300
       247          6          6'222 0.99987600
       248          1          6'223 0.99987650
       249          4          6'240 0.99987850
       250          1          6'241 0.99987900
       251          4          6'259 0.99988100
       252          1          6'277 0.99988150
       253          8          6'278 0.99988550
       254          1          6'296 0.99988600
       255          1          6'297 0.99988650
       256          6          6'315 0.99988950
       257          5          6'333 0.99989200
       258          1          6'334 0.99989250
       259          1          6'351 0.99989300
       260          5          6'352 0.99989550
       261          3          6'370 0.99989700
       262          1          6'371 0.99989750
       263          2          6'389 0.99989850
       264          4          6'407 0.99990050
       265          1          6'408 0.99990100
       266          2          6'425 0.99990200
       267          3          6'426 0.99990350
       268          6          6'444 0.99990650
       269          3          6'445 0.99990800
       270          1          6'462 0.99990850
       271         10          6'463 0.99991350
       272          4          6'481 0.99991550
