./cpp_clockinfo_main-RPi4B-8192MiB-threads_4-LP64-NetBSD_10_64bit-g++_8_O3-libstdc++ . . .
cpp_clockinfo_main version: acpphint_0.1.23


is_steady:                           true
period 'resolution' :              1 ns
duration max        :   9.223372e+18 ns
now (from epoch)    :  7.5893563e+14 ns


main thread by itself:

Clock tick is not slow relative to execution:
no zero durations observed.

Of 2'000'000 near 'back to back now()' durations:

minimum duration                     :            333 ns
(to be subtracted out from activity durations)

target approx. min actvity duration  :          1'900 ns
(with min duration still included)

target with min duration subtracted  :          1'567 ns

Other information for reference:

small scale duration variability     :             19 ns
       190         22          6'277 0.99873450
       191         52          6'278 0.99876050
       192         67          6'296 0.99879400
       193         23          6'297 0.99880550
       194         16          6'314 0.99881350
       195         41          6'315 0.99883400
       196         68          6'333 0.99886800
       197         23          6'334 0.99887950
       198         15          6'351 0.99888700
       199         61          6'352 0.99891750
       200         63          6'370 0.99894900
       201         24          6'371 0.99896100
       202         10          6'388 0.99896600
       203         52          6'389 0.99899200
       204         56          6'407 0.99902000
       205         23          6'408 0.99903150
       206         13          6'425 0.99903800
       207         63          6'426 0.99906950
       208         46          6'444 0.99909250
       209         35          6'445 0.99911000
       210          8          6'462 0.99911400
       211         60          6'463 0.99914400
       212         39          6'481 0.99916350
       213         32          6'482 0.99917950
       214          4          6'499 0.99918150
       215         65          6'500 0.99921400
       216         33          6'518 0.99923050
       217         23          6'519 0.99924200
       218          1          6'536 0.99924250
       219         58          6'537 0.99927150
       220         36          6'555 0.99928950
       221         26          6'556 0.99930250
       222          2          6'573 0.99930350
       223         49          6'574 0.99932800
       224         24          6'592 0.99934000
       225         23          6'593 0.99935150
       226         58          6'611 0.99938050
       227          1          6'612 0.99938100
       228         21          6'629 0.99939150
       229         27          6'630 0.99940500
       230         43          6'648 0.99942650
       231         13          6'666 0.99943300
       232         18          6'667 0.99944200
       233         32          6'685 0.99945800
       234          2          6'686 0.99945900
       235         15          6'703 0.99946650
       236         15          6'704 0.99947400
       237         24          6'722 0.99948600
       238          5          6'723 0.99948850
       239         13          6'740 0.99949500
       240         14          6'741 0.99950200
       241         18          6'759 0.99951100
       242          8          6'760 0.99951500
       243          9          6'777 0.99951950
       244          7          6'778 0.99952300
       245         12          6'796 0.99952900
       246          4          6'814 0.99953100
       247          6          6'815 0.99953400
       248          9          6'833 0.99953850
