./cpp_clockinfo_main-HoneyComb-65536MiB-threads_16-LP64-OpenBSD_7p2STABLE_NODIAG_64bit-clang++_13_O3lto-libc++ . . .
cpp_clockinfo_main version: acpphint_0.1.28


is_steady:                           true
period 'resolution' : 1 ns
duration max        : 9'223'372'036'854'775'807 ns
now (from epoch)    : 116'771'647'272 ns


main thread by itself:

Clock tick is not slow relative to execution:
no zero durations observed.

Of 2'000'000 near 'back to back now()' durations:

minimum duration                     : 39 ns
(to be subtracted out from activity durations)

target approx. min actvity duration  : 4'100 ns
(with min duration still included)

target with min duration subtracted  : 4'061 ns

Other information for reference:

small scale duration variability     : 41 ns

largest observed duration            : 28'720 ns
(with min duration still included)


      list  #Examples       duration   fraction
  position  of durat.           (ns)    with <=

       188          5          7'160 0.99985250
       189          3          7'200 0.99985400
       190          2          7'239 0.99985500
       191          5          7'240 0.99985750
       192          2          7'279 0.99985850
       193          2          7'280 0.99985950
       194          2          7'319 0.99986050
       195          5          7'320 0.99986300
       196          2          7'359 0.99986400
       197          7          7'360 0.99986750
       198          1          7'399 0.99986800
       199          3          7'400 0.99986950
       200          3          7'440 0.99987100
       201          2          7'479 0.99987200
       202          8          7'480 0.99987600
       203          1          7'519 0.99987650
       204          6          7'520 0.99987950
       205          1          7'559 0.99988000
       206          5          7'560 0.99988250
       207          9          7'600 0.99988700
       208          7          7'640 0.99989050
       209          1          7'679 0.99989100
       210         11          7'680 0.99989650
       211          1          7'719 0.99989700
       212          7          7'720 0.99990050
       213          5          7'760 0.99990300
       214          1          7'799 0.99990350
       215          7          7'800 0.99990700
       216          7          7'840 0.99991050
       217          3          7'879 0.99991200
       218          6          7'880 0.99991500
       219          2          7'919 0.99991600
       220          8          7'920 0.99992000
       221          2          7'959 0.99992100
       222          7          7'960 0.99992450
       223          4          8'000 0.99992650
       224          3          8'040 0.99992800
       225          2          8'079 0.99992900
       226          7          8'080 0.99993250
       227          2          8'119 0.99993350
       228          6          8'120 0.99993650
       229          4          8'160 0.99993850
       230          2          8'199 0.99993950
       231          3          8'200 0.99994100
       232          6          8'240 0.99994400
       233          2          8'279 0.99994500
       234          6          8'280 0.99994800
       235          3          8'320 0.99994950
       236          2          8'359 0.99995050
       237          2          8'360 0.99995150
       238          1          8'400 0.99995200
       239          2          8'440 0.99995300
       240          3          8'480 0.99995450
       241          1          8'519 0.99995500
       242          2          8'520 0.99995600
       243          2          8'560 0.99995700
       244          1          8'600 0.99995750
       245          1          8'639 0.99995800
       246          1          8'640 0.99995850
       247          3          8'680 0.99996000
       248          3          8'720 0.99996150
       249          1          8'760 0.99996200
       250          1          8'799 0.99996250
       251          2          8'800 0.99996350
       252          1          8'879 0.99996400
       253          1          8'919 0.99996450
       254          1          8'920 0.99996500
       255          1          8'959 0.99996550
       256          1          8'960 0.99996600
