./cpp_clockinfo_main-ThreadRipper1950X-131072MiB-threads_32-LP64-Fedora_32-g++_10_O3lto-libstdc++-cpulockdown . . .
cpp_clockinfo_main version: acpphint_0.1.23


is_steady:                           true
period 'resolution' :              1 ns
duration max        :   9.223372e+18 ns
now (from epoch)    :  1.5810525e+13 ns


main thread by itself:

Clock tick is not slow relative to execution:
no zero durations observed.

Of 2'000'000 near 'back to back now()' durations:

minimum duration                     :             20 ns
(to be subtracted out from activity durations)

target approx. min actvity duration  :          1'000 ns
(with min duration still included)

target with min duration subtracted  :            980 ns

Other information for reference:

small scale duration variability     :             10 ns
       196          7          1'663 0.99959150
       197          2          1'664 0.99959250
       198          4          1'673 0.99959450
       199          3          1'674 0.99959600
       200          1          1'683 0.99959650
       201          2          1'684 0.99959750
       202          7          1'693 0.99960100
       203          2          1'694 0.99960200
       204         10          1'703 0.99960700
       205          2          1'704 0.99960800
       206         10          1'713 0.99961300
       207          3          1'714 0.99961450
       208          8          1'723 0.99961850
       209          2          1'724 0.99961950
       210          4          1'733 0.99962150
       211          4          1'734 0.99962350
       212         14          1'743 0.99963050
       213          3          1'744 0.99963200
       214          9          1'753 0.99963650
       215          6          1'754 0.99963950
       216          3          1'763 0.99964100
       217          4          1'764 0.99964300
       218          6          1'773 0.99964600
       219          8          1'774 0.99965000
       220          3          1'783 0.99965150
       221          8          1'784 0.99965550
       222          5          1'793 0.99965800
       223          5          1'794 0.99966050
       224          8          1'803 0.99966450
       225          7          1'804 0.99966800
       226          7          1'813 0.99967150
       227          4          1'814 0.99967350
       228         14          1'823 0.99968050
       229          7          1'824 0.99968400
       230          8          1'833 0.99968800
       231          6          1'834 0.99969100
       232          8          1'843 0.99969500
       233          7          1'844 0.99969850
       234          6          1'853 0.99970150
       235          7          1'854 0.99970500
       236          5          1'863 0.99970750
       237          3          1'864 0.99970900
       238          1          1'873 0.99970950
       239          3          1'874 0.99971100
       240          2          1'883 0.99971200
       241          9          1'884 0.99971650
       242          2          1'893 0.99971750
       243          8          1'894 0.99972150
       244          2          1'903 0.99972250
       245          8          1'904 0.99972650
       246          5          1'913 0.99972900
       247          3          1'914 0.99973050
       248          2          1'923 0.99973150
       249          2          1'924 0.99973250
       250          4          1'933 0.99973450
       251          3          1'943 0.99973600
       252          3          1'944 0.99973750
       253          3          1'953 0.99973900
       254          7          1'954 0.99974250
       255          6          1'963 0.99974550
       256         12          1'964 0.99975150
       257          3          1'973 0.99975300
       258          9          1'974 0.99975750
       259          1          1'983 0.99975800
       260         15          1'984 0.99976550
       261          2          1'993 0.99976650
       262         13          1'994 0.99977300
       263          2          2'003 0.99977400
       264          6          2'004 0.99977700
       265          6          2'014 0.99978000
       266          6          2'024 0.99978300
       267          6          2'034 0.99978600
       268          8          2'044 0.99979000
       269          1          2'053 0.99979050
       270         11          2'054 0.99979600
       271          1          2'063 0.99979650
       272         12          2'064 0.99980250
       273          1          2'073 0.99980300
       274         12          2'074 0.99980900
       275          4          2'084 0.99981100
       276         11          2'094 0.99981650
       277          6          2'104 0.99981950
       278          7          2'114 0.99982300
       279          5          2'124 0.99982550
       280          2          2'125 0.99982650
       281          6          2'134 0.99982950
       282          1          2'135 0.99983000
       283          3          2'144 0.99983150
       284          7          2'154 0.99983500
       285          1          2'155 0.99983550
       286          2          2'164 0.99983650
       287          2          2'165 0.99983750
       288          1          2'174 0.99983800
       289          1          2'175 0.99983850
       290          3          2'184 0.99984000
       291          4          2'194 0.99984200
       292          7          2'204 0.99984550
       293          6          2'214 0.99984850
       294          4          2'224 0.99985050
       295          1          2'225 0.99985100
       296          2          2'234 0.99985200
       297          2          2'235 0.99985300
       298          5          2'244 0.99985550
       299          2          2'245 0.99985650
       300          6          2'254 0.99985950
       301          4          2'255 0.99986150
       302          3          2'264 0.99986300
       303          2          2'265 0.99986400
       304          3          2'274 0.99986550
       305          3          2'275 0.99986700
       306          3          2'284 0.99986850
       307          1          2'285 0.99986900
       308          2          2'294 0.99987000
       309          8          2'295 0.99987400
       310          1          2'304 0.99987450
       311          3          2'305 0.99987600
       312          5          2'314 0.99987850
       313          1          2'315 0.99987900
       314          3          2'324 0.99988050
       315          2          2'325 0.99988150
       316          3          2'334 0.99988300
       317          5          2'335 0.99988550
       318          3          2'344 0.99988700
       319          3          2'345 0.99988850
       320          1          2'354 0.99988900
       321          2          2'355 0.99989000
       322          2          2'365 0.99989100
       323          1          2'374 0.99989150
       324          3          2'375 0.99989300
       325          2          2'384 0.99989400
       326          4          2'385 0.99989600
       327          2          2'394 0.99989700
       328          4          2'395 0.99989900
       329          3          2'404 0.99990050
       330          1          2'405 0.99990100
       331          1          2'414 0.99990150
       332          1          2'415 0.99990200
       333          1          2'434 0.99990250
       334          1          2'435 0.99990300
       335          5          2'445 0.99990550
       336          3          2'455 0.99990700
       337          1          2'464 0.99990750
       338          1          2'465 0.99990800
       339          3          2'475 0.99990950
       340          3          2'485 0.99991100
       341          2          2'494 0.99991200
       342          5          2'495 0.99991450
       343          5          2'505 0.99991700
       344          5          2'515 0.99991950
       345          2          2'524 0.99992050
       346          3          2'525 0.99992200
       347          4          2'535 0.99992400
       348          1          2'544 0.99992450
       349          2          2'545 0.99992550
       350          2          2'554 0.99992650
       351          3          2'555 0.99992800
       352          1          2'564 0.99992850
       353          2          2'565 0.99992950
       354          5          2'575 0.99993200
       355          1          2'585 0.99993250
       356          1          2'595 0.99993300
       357          1          2'605 0.99993350
       358          3          2'615 0.99993500
       359          1          2'625 0.99993550
       360          3          2'655 0.99993700
       361          3          2'665 0.99993850
       362          1          2'675 0.99993900
       363          1          2'705 0.99993950
       364          1          2'735 0.99994000
       365          1          2'736 0.99994050
       366          1          2'756 0.99994100
       367          1          2'765 0.99994150
       368          1          2'785 0.99994200
       369          3          2'795 0.99994350
       370          1          2'826 0.99994400
       371          2          2'835 0.99994500
       372          1          2'845 0.99994550
       373          1          2'906 0.99994600
       374          2          2'956 0.99994700
       375          1          2'976 0.99994750
