./cpp_clockinfo_main-RPi4B-8192MiB-threads_4-LP64-FreeBSD_main_n247756_348c41d1815d_64bit-g++_11_O3lto-libc++ . . .
cpp_clockinfo_main version: acpphint_0.1.24


is_steady:                           true
period 'resolution' : 1 ns
duration max        : 9'223'372'036'854'775'807 ns
now (from epoch)    : 390'612'495'867 ns


main thread by itself:

Clock tick is not slow relative to execution:
no zero durations observed.

Of 2'000'000 near 'back to back now()' durations:

minimum duration                     : 55 ns
(to be subtracted out from activity durations)

target approx. min actvity duration  : 1'900 ns
(with min duration still included)

target with min duration subtracted  : 1'845 ns

Other information for reference:

small scale duration variability     : 19 ns

largest observed duration            : 53'870 ns
(with min duration still included)


      list  #Examples       duration   fraction
  position  of durat.           (ns)    with <=

       189          1          4'110 0.99932350
       190         79          4'111 0.99936300
       191          8          4'112 0.99936700
       192         28          4'129 0.99938100
       193         48          4'130 0.99940500
       194         57          4'148 0.99943350
       195          7          4'149 0.99943700
       196         20          4'166 0.99944700
       197         45          4'167 0.99946950
       198         58          4'185 0.99949850
       199          8          4'186 0.99950250
       200         20          4'203 0.99951250
       201         42          4'204 0.99953350
       202         50          4'222 0.99955850
       203          8          4'223 0.99956250
       204          9          4'240 0.99956700
       205         35          4'241 0.99958450
       206         35          4'259 0.99960200
       207          6          4'260 0.99960500
       208         13          4'277 0.99961150
       209         39          4'278 0.99963100
       210         29          4'296 0.99964550
       211         13          4'297 0.99965200
       212          3          4'314 0.99965350
       213         27          4'315 0.99966700
       214         30          4'333 0.99968200
       215         12          4'334 0.99968800
       216          8          4'351 0.99969200
       217         27          4'352 0.99970550
       218         30          4'370 0.99972050
       219          9          4'371 0.99972500
       220          4          4'388 0.99972700
       221         39          4'389 0.99974650
       222         18          4'407 0.99975550
       223         13          4'408 0.99976200
       224          7          4'425 0.99976550
       225         22          4'426 0.99977650
       226         13          4'444 0.99978300
       227         15          4'445 0.99979050
       228          3          4'462 0.99979200
       229         30          4'463 0.99980700
       230         18          4'481 0.99981600
       231          8          4'482 0.99982000
       232         19          4'500 0.99982950
       233          5          4'518 0.99983200
       234          8          4'519 0.99983600
       235          2          4'536 0.99983700
       236         17          4'537 0.99984550
       237          1          4'538 0.99984600
       238         11          4'555 0.99985150
       239         12          4'556 0.99985750
       240          1          4'573 0.99985800
       241         19          4'574 0.99986750
       242          1          4'575 0.99986800
       243         11          4'592 0.99987350
       244         11          4'593 0.99987900
       245         14          4'611 0.99988600
       246          2          4'612 0.99988700
       247         10          4'629 0.99989200
       248          9          4'630 0.99989650
       249          7          4'648 0.99990000
       250          3          4'649 0.99990150
       251          5          4'666 0.99990400
       252         11          4'667 0.99990950
       253         10          4'685 0.99991450
       254          2          4'686 0.99991550
       255          3          4'703 0.99991700
       256          5          4'704 0.99991950
       257          8          4'722 0.99992350
       258          5          4'723 0.99992600
       259          3          4'740 0.99992750
       260          5          4'741 0.99993000
       261          2          4'759 0.99993100
       262          1          4'760 0.99993150
       263          3          4'777 0.99993300
       264         11          4'778 0.99993850
       265          8          4'796 0.99994250
       266          1          4'814 0.99994300
