./cpp_clockinfo_main-OPi+2E-2048MiB-threads_4-ILP32-FreeBSD_main_n247756_348c41d1815d_32bit-g++_11_O3lto-libc++-cpulockdown . . .
cpp_clockinfo_main version: acpphint_0.1.24


is_steady:                           true
period 'resolution' :              1 ns
duration max        :   9.223372e+18 ns
now (from epoch)    :  3.9800668e+12 ns


main thread by itself:

Clock tick is not slow relative to execution:
no zero durations observed.

Of 2'000'000 near 'back to back now()' durations:

minimum duration                     :            208 ns
(to be subtracted out from activity durations)

target approx. min actvity duration  :         16'700 ns
(with min duration still included)

target with min duration subtracted  :         16'492 ns

Other information for reference:

small scale duration variability     :            167 ns
       190         28          8'958 0.99875400
       191          2          8'959 0.99875500
       192          8          8'999 0.99875900
       193         24          9'000 0.99877100
       194         23          9'041 0.99878250
       195          1          9'042 0.99878300
       196          1          9'082 0.99878350
       197         23          9'083 0.99879500
       198          2          9'084 0.99879600
       199          7          9'124 0.99879950
       200         19          9'125 0.99880900
       201         19          9'166 0.99881850
       202         12          9'167 0.99882450
       203          2          9'207 0.99882550
       204         24          9'208 0.99883750
       205          9          9'249 0.99884200
       206         13          9'250 0.99884850
       207         13          9'291 0.99885500
       208          8          9'292 0.99885900
       209         17          9'333 0.99886750
       210         12          9'374 0.99887350
       211         21          9'375 0.99888400
       212         10          9'416 0.99888900
       213          6          9'417 0.99889200
       214         27          9'458 0.99890550
       215          1          9'459 0.99890600
       216          8          9'499 0.99891000
       217          9          9'500 0.99891450
       218         18          9'541 0.99892350
       219          7          9'542 0.99892700
       220         28          9'583 0.99894100
       221          2          9'584 0.99894200
       222         10          9'624 0.99894700
       223         17          9'625 0.99895550
       224         20          9'666 0.99896550
       225          6          9'667 0.99896850
       226          1          9'707 0.99896900
       227         21          9'708 0.99897950
       228          2          9'709 0.99898050
       229          9          9'749 0.99898500
       230         14          9'750 0.99899200
       231         19          9'791 0.99900150
       232          6          9'792 0.99900450
       233          2          9'832 0.99900550
       234         22          9'833 0.99901650
       235          3          9'834 0.99901800
       236          5          9'874 0.99902050
       237         14          9'875 0.99902750
       238         23          9'916 0.99903900
