./cpp_clockinfo_main-OPi+2E-2048MiB-threads_4-ILP32-FreeBSD_13_r363590M-g++_10_O3lto-libc++ . . .
cpp_clockinfo_main version: acpphint_0.1.23


is_steady:                           true
period 'resolution' :              1 ns
duration max        :   9.223372e+18 ns
now (from epoch)    :  5.5173558e+14 ns


main thread by itself:

Clock tick is not slow relative to execution:
no zero durations observed.

Of 2'000'000 near 'back to back now()' durations:

minimum duration                     :            249 ns
(to be subtracted out from activity durations)

target approx. min actvity duration  :            200 ns
(with min duration still included)

target with min duration subtracted  :            -49 ns

Other information for reference:

small scale duration variability     :              2 ns
       192         46          9'416 0.99877250
       193         21          9'417 0.99878300
       194          5          9'457 0.99878550
       195         56          9'458 0.99881350
       196          6          9'459 0.99881650
       197         21          9'499 0.99882700
       198         36          9'500 0.99884500
       199         38          9'541 0.99886400
       200         16          9'542 0.99887200
       201         45          9'583 0.99889450
       202          2          9'584 0.99889550
       203         17          9'624 0.99890400
       204         38          9'625 0.99892300
       205         27          9'666 0.99893650
       206         14          9'667 0.99894350
       207          4          9'707 0.99894550
       208         38          9'708 0.99896450
       209          2          9'709 0.99896550
       210         15          9'749 0.99897300
       211         29          9'750 0.99898750
       212         32          9'791 0.99900350
       213         12          9'792 0.99900950
       214          4          9'832 0.99901150
       215         31          9'833 0.99902700
       216          1          9'834 0.99902750
       217          7          9'874 0.99903100
       218         23          9'875 0.99904250
       219         25          9'916 0.99905500
       220         10          9'917 0.99906000
       221         28          9'958 0.99907400
       222          1          9'959 0.99907450
       223         11          9'999 0.99908000
       224         15         10'000 0.99908750
       225         15         10'041 0.99909500
       226          7         10'042 0.99909850
       227          1         10'082 0.99909900
       228         21         10'083 0.99910950
       229         11         10'124 0.99911500
       230         17         10'125 0.99912350
       231         17         10'166 0.99913200
       232          6         10'167 0.99913500
       233         28         10'208 0.99914900
       234          9         10'249 0.99915350
       235         16         10'250 0.99916150
       236         17         10'291 0.99917000
       237          7         10'292 0.99917350
       238          2         10'332 0.99917450
       239         29         10'333 0.99918900
       240         11         10'374 0.99919450
       241         23         10'375 0.99920600
       242         37         10'416 0.99922450
       243          5         10'417 0.99922700
       244          3         10'457 0.99922850
       245         29         10'458 0.99924300
       246          3         10'459 0.99924450
       247         14         10'499 0.99925150
       248         22         10'500 0.99926250
       249         28         10'541 0.99927650
       250          9         10'542 0.99928100
       251          2         10'582 0.99928200
       252         31         10'583 0.99929750
       253         13         10'624 0.99930400
       254         17         10'625 0.99931250
       255         18         10'666 0.99932150
       256         10         10'667 0.99932650
       257          1         10'707 0.99932700
       258         28         10'708 0.99934100
       259         13         10'749 0.99934750
       260         16         10'750 0.99935550
       261         26         10'791 0.99936850
       262          8         10'792 0.99937250
       263          1         10'832 0.99937300
       264         30         10'833 0.99938800
       265          1         10'834 0.99938850
       266         20         10'874 0.99939850
       267         27         10'875 0.99941200
       268         19         10'916 0.99942150
       269         10         10'917 0.99942650
       270          1         10'957 0.99942700
       271         36         10'958 0.99944500
       272         15         10'999 0.99945250
       273         18         11'000 0.99946150
       274         24         11'041 0.99947350
       275          6         11'042 0.99947650
       276          1         11'082 0.99947700
       277         35         11'083 0.99949450
       278         10         11'124 0.99949950
       279         16         11'125 0.99950750
       280         21         11'166 0.99951800
       281          8         11'167 0.99952200
       282          3         11'207 0.99952350
       283         24         11'208 0.99953550
       284         15         11'249 0.99954300
       285          9         11'250 0.99954750
       286         13         11'291 0.99955400
       287          4         11'292 0.99955600
       288          1         11'332 0.99955650
       289         20         11'333 0.99956650
       290         11         11'374 0.99957200
       291         16         11'375 0.99958000
       292         10         11'416 0.99958500
       293          5         11'417 0.99958750
       294          3         11'457 0.99958900
       295         18         11'458 0.99959800
       296         10         11'499 0.99960300
       297         12         11'500 0.99960900
       298         16         11'541 0.99961700
       299          2         11'542 0.99961800
       300          2         11'582 0.99961900
       301         15         11'583 0.99962650
       302          8         11'624 0.99963050
       303         10         11'625 0.99963550
       304          9         11'666 0.99964000
       305          3         11'667 0.99964150
       306          1         11'707 0.99964200
       307         10         11'708 0.99964700
       308          5         11'749 0.99964950
       309          7         11'750 0.99965300
       310          4         11'791 0.99965500
       311          1         11'792 0.99965550
       312         14         11'833 0.99966250
       313          7         11'874 0.99966600
       314          4         11'875 0.99966800
       315         14         11'916 0.99967500
       316          5         11'917 0.99967750
       317          1         11'957 0.99967800
       318          9         11'958 0.99968250
       319          3         11'999 0.99968400
       320          5         12'000 0.99968650
       321          7         12'041 0.99969000
       322          1         12'042 0.99969050
       323          1         12'082 0.99969100
       324         12         12'083 0.99969700
       325          1         12'124 0.99969750
       326          2         12'125 0.99969850
       327          6         12'166 0.99970150
       328          1         12'167 0.99970200
       329          8         12'208 0.99970600
       330          1         12'249 0.99970650
       331          5         12'250 0.99970900
       332          8         12'291 0.99971300
       333          3         12'292 0.99971450
       334          2         12'332 0.99971550
       335          6         12'333 0.99971850
       336          5         12'374 0.99972100
       337          3         12'375 0.99972250
       338          5         12'416 0.99972500
       339          1         12'417 0.99972550
       340          7         12'458 0.99972900
       341          1         12'499 0.99972950
       342          2         12'500 0.99973050
       343          2         12'541 0.99973150
       344          4         12'583 0.99973350
       345          3         12'624 0.99973500
       346          5         12'625 0.99973750
       347          5         12'666 0.99974000
       348          1         12'667 0.99974050
       349          3         12'707 0.99974200
       350          4         12'708 0.99974400
       351          3         12'749 0.99974550
       352          1         12'750 0.99974600
       353          3         12'791 0.99974750
       354          2         12'792 0.99974850
       355          4         12'833 0.99975050
       356          1         12'874 0.99975100
       357          1         12'875 0.99975150
       358          2         12'916 0.99975250
       359          2         12'917 0.99975350
       360          4         12'958 0.99975550
       361          2         12'999 0.99975650
       362          3         13'000 0.99975800
       363          3         13'041 0.99975950
       364          1         13'082 0.99976000
       365          4         13'083 0.99976200
       366          3         13'124 0.99976350
       367          1         13'166 0.99976400
       368          2         13'167 0.99976500
       369          3         13'208 0.99976650
       370          3         13'250 0.99976800
       371          3         13'291 0.99976950
       372          4         13'333 0.99977150
       373          1         13'374 0.99977200
       374          4         13'375 0.99977400
       375          2         13'416 0.99977500
       376          1         13'457 0.99977550
       377          2         13'458 0.99977650
       378          2         13'499 0.99977750
       379          2         13'500 0.99977850
       380          1         13'541 0.99977900
       381          1         13'542 0.99977950
       382          1         13'582 0.99978000
       383          2         13'625 0.99978100
       384          6         13'666 0.99978400
       385          2         13'667 0.99978500
       386          1         13'707 0.99978550
       387          5         13'708 0.99978800
       388          4         13'749 0.99979000
       389          1         13'750 0.99979050
       390          2         13'791 0.99979150
       391          2         13'833 0.99979250
       392          4         13'874 0.99979450
       393          4         13'875 0.99979650
       394          2         13'916 0.99979750
       395          1         13'917 0.99979800
       396          3         13'958 0.99979950
       397          3         13'999 0.99980100
