./cpp_clockinfo_main-OPi+2E-2048MiB-threads_4-ILP32-FreeBSD_13_r363590M-g++_10_O3lto-libc++-cpulockdown . . .
cpp_clockinfo_main version: acpphint_0.1.23


is_steady:                           true
period 'resolution' :              1 ns
duration max        :   9.223372e+18 ns
now (from epoch)    :  5.4945751e+14 ns


main thread by itself:

Clock tick is not slow relative to execution:
no zero durations observed.

Of 2'000'000 near 'back to back now()' durations:

minimum duration                     :            249 ns
(to be subtracted out from activity durations)

target approx. min actvity duration  :            100 ns
(with min duration still included)

target with min duration subtracted  :           -149 ns

Other information for reference:

small scale duration variability     :              1 ns
       191         29          9'750 0.99899450
       192         19          9'791 0.99900400
       193         10          9'792 0.99900900
       194          3          9'832 0.99901050
       195         26          9'833 0.99902350
       196          1          9'834 0.99902400
       197          7          9'874 0.99902750
       198         18          9'875 0.99903650
       199         20          9'916 0.99904650
       200         15          9'917 0.99905400
       201          1          9'957 0.99905450
       202         29          9'958 0.99906900
       203          1          9'959 0.99906950
       204         13          9'999 0.99907600
       205         23         10'000 0.99908750
       206         10         10'041 0.99909250
       207          9         10'042 0.99909700
       208          2         10'082 0.99909800
       209         30         10'083 0.99911300
       210         10         10'124 0.99911800
       211         24         10'125 0.99913000
       212         15         10'166 0.99913750
       213         15         10'167 0.99914500
       214         23         10'208 0.99915650
       215          8         10'249 0.99916050
       216         16         10'250 0.99916850
       217         20         10'291 0.99917850
       218          9         10'292 0.99918300
       219          3         10'332 0.99918450
       220         21         10'333 0.99919500
       221         16         10'374 0.99920300
       222         12         10'375 0.99920900
       223         22         10'416 0.99922000
       224          9         10'417 0.99922450
       225         23         10'458 0.99923600
       226          2         10'459 0.99923700
       227         12         10'499 0.99924300
       228         10         10'500 0.99924800
       229         23         10'541 0.99925950
       230         10         10'542 0.99926450
       231          1         10'582 0.99926500
       232         28         10'583 0.99927900
       233          1         10'584 0.99927950
       234         11         10'624 0.99928500
       235         15         10'625 0.99929250
       236         21         10'666 0.99930300
       237         10         10'667 0.99930800
       238          2         10'707 0.99930900
       239         30         10'708 0.99932400
       240          1         10'709 0.99932450
       241         13         10'749 0.99933100
       242         16         10'750 0.99933900
       243         10         10'791 0.99934400
       244         12         10'792 0.99935000
       245          2         10'832 0.99935100
       246         34         10'833 0.99936800
       247         15         10'874 0.99937550
       248         13         10'875 0.99938200
       249         30         10'916 0.99939700
       250          8         10'917 0.99940100
       251          1         10'957 0.99940150
       252         26         10'958 0.99941450
       253         16         10'999 0.99942250
       254         16         11'000 0.99943050
       255         29         11'041 0.99944500
       256          7         11'042 0.99944850
       257         26         11'083 0.99946150
       258         18         11'124 0.99947050
       259         19         11'125 0.99948000
       260         20         11'166 0.99949000
       261          6         11'167 0.99949300
       262          1         11'207 0.99949350
       263         32         11'208 0.99950950
       264          7         11'249 0.99951300
       265         17         11'250 0.99952150
       266         13         11'291 0.99952800
       267          7         11'292 0.99953150
       268          2         11'332 0.99953250
       269         25         11'333 0.99954500
       270          2         11'334 0.99954600
       271         11         11'374 0.99955150
       272         12         11'375 0.99955750
       273         22         11'416 0.99956850
       274         10         11'417 0.99957350
       275          1         11'457 0.99957400
       276         13         11'458 0.99958050
       277         13         11'499 0.99958700
       278          9         11'500 0.99959150
       279         16         11'541 0.99959950
       280          4         11'542 0.99960150
       281         19         11'583 0.99961100
       282          5         11'624 0.99961350
       283          6         11'625 0.99961650
       284          9         11'666 0.99962100
       285          3         11'667 0.99962250
       286         16         11'708 0.99963050
       287          6         11'749 0.99963350
       288         13         11'750 0.99964000
       289         10         11'791 0.99964500
       290          4         11'792 0.99964700
       291          2         11'832 0.99964800
       292          9         11'833 0.99965250
       293          8         11'874 0.99965650
       294          4         11'875 0.99965850
       295         13         11'916 0.99966500
       296          2         11'917 0.99966600
       297          1         11'957 0.99966650
       298         10         11'958 0.99967150
       299          5         11'999 0.99967400
       300          5         12'000 0.99967650
       301          8         12'041 0.99968050
       302          1         12'042 0.99968100
       303          9         12'083 0.99968550
       304          7         12'124 0.99968900
       305          7         12'125 0.99969250
       306          6         12'166 0.99969550
       307          1         12'167 0.99969600
       308          6         12'208 0.99969900
       309          4         12'249 0.99970100
       310          9         12'250 0.99970550
       311          5         12'291 0.99970800
       312          2         12'292 0.99970900
       313          2         12'332 0.99971000
       314          6         12'333 0.99971300
       315          1         12'374 0.99971350
       316          3         12'375 0.99971500
       317          5         12'416 0.99971750
       318          1         12'417 0.99971800
       319          1         12'457 0.99971850
       320          7         12'458 0.99972200
       321          1         12'499 0.99972250
       322          4         12'500 0.99972450
       323          1         12'541 0.99972500
       324          2         12'542 0.99972600
       325          8         12'583 0.99973000
       326          2         12'624 0.99973100
       327          6         12'666 0.99973400
       328          1         12'707 0.99973450
       329          7         12'708 0.99973800
       330          5         12'749 0.99974050
       331          3         12'750 0.99974200
       332          4         12'791 0.99974400
       333          1         12'792 0.99974450
       334          1         12'833 0.99974500
       335          2         12'874 0.99974600
       336          2         12'875 0.99974700
       337          4         12'916 0.99974900
       338          1         12'917 0.99974950
       339          4         12'958 0.99975150
       340          1         12'999 0.99975200
       341          3         13'041 0.99975350
       342          1         13'042 0.99975400
       343          3         13'083 0.99975550
       344          2         13'124 0.99975650
       345          2         13'125 0.99975750
       346          5         13'208 0.99976000
       347          1         13'250 0.99976050
       348          4         13'291 0.99976250
       349          1         13'292 0.99976300
       350          2         13'332 0.99976400
       351          3         13'333 0.99976550
       352          2         13'374 0.99976650
       353          4         13'416 0.99976850
       354          2         13'458 0.99976950
       355          2         13'499 0.99977050
       356          3         13'500 0.99977200
       357          1         13'541 0.99977250
       358          1         13'582 0.99977300
       359          3         13'583 0.99977450
       360          1         13'624 0.99977500
       361          1         13'625 0.99977550
       362          1         13'666 0.99977600
       363          1         13'667 0.99977650
       364          4         13'707 0.99977850
       365          6         13'708 0.99978150
       366          3         13'749 0.99978300
       367          1         13'750 0.99978350
       368          5         13'791 0.99978600
       369          1         13'792 0.99978650
       370          2         13'832 0.99978750
       371          3         13'833 0.99978900
       372          1         13'874 0.99978950
       373          3         13'875 0.99979100
       374          3         13'916 0.99979250
       375          1         13'957 0.99979300
       376          4         13'958 0.99979500
       377          3         13'999 0.99979650
       378          4         14'000 0.99979850
       379          6         14'041 0.99980150
       380          2         14'042 0.99980250
       381          5         14'083 0.99980500
       382          6         14'125 0.99980800
       383          4         14'166 0.99981000
       384          1         14'167 0.99981050
       385          1         14'207 0.99981100
       386          4         14'208 0.99981300
       387          1         14'249 0.99981350
       388          1         14'250 0.99981400
       389          3         14'291 0.99981550
       390          4         14'333 0.99981750
       391          1         14'374 0.99981800
       392          2         14'375 0.99981900
       393          7         14'416 0.99982250
       394          2         14'417 0.99982350
       395          1         14'457 0.99982400
       396          7         14'458 0.99982750
       397          3         14'499 0.99982900
       398          5         14'500 0.99983150
       399          1         14'540 0.99983200
       400          4         14'541 0.99983400
       401          2         14'542 0.99983500
       402          1         14'582 0.99983550
       403          4         14'583 0.99983750
       404          4         14'624 0.99983950
       405          1         14'625 0.99984000
       406          7         14'666 0.99984350
       407          1         14'667 0.99984400
       408          3         14'707 0.99984550
       409          8         14'708 0.99984950
       410          1         14'749 0.99985000
       411          1         14'750 0.99985050
       412          5         14'791 0.99985300
       413          1         14'792 0.99985350
       414          3         14'832 0.99985500
       415          3         14'833 0.99985650
       416          3         14'874 0.99985800
       417          3         14'875 0.99985950
       418          7         14'916 0.99986300
       419          2         14'957 0.99986400
       420          5         14'958 0.99986650
       421          1         14'999 0.99986700
       422          3         15'000 0.99986850
       423          6         15'041 0.99987150
       424          1         15'082 0.99987200
       425          1         15'083 0.99987250
       426          6         15'124 0.99987550
       427          2         15'125 0.99987650
       428          7         15'166 0.99988000
       429          2         15'167 0.99988100
       430          1         15'207 0.99988150
       431          3         15'208 0.99988300
       432          4         15'249 0.99988500
       433          1         15'250 0.99988550
       434          3         15'291 0.99988700
       435          2         15'332 0.99988800
       436          4         15'333 0.99989000
       437          3         15'375 0.99989150
       438          4         15'416 0.99989350
       439          7         15'458 0.99989700
       440          1         15'499 0.99989750
       441          3         15'500 0.99989900
       442          1         15'541 0.99989950
       443          2         15'582 0.99990050
       444          3         15'583 0.99990200
       445          3         15'624 0.99990350
       446          2         15'625 0.99990450
       447          3         15'666 0.99990600
       448          1         15'667 0.99990650
       449          1         15'707 0.99990700
       450          3         15'708 0.99990850
       451          4         15'749 0.99991050
       452          3         15'750 0.99991200
       453          2         15'791 0.99991300
       454          1         15'833 0.99991350
       455          3         15'874 0.99991500
       456          1         15'875 0.99991550
       457          2         15'916 0.99991650
       458          1         15'957 0.99991700
       459          1         15'958 0.99991750
       460          2         15'999 0.99991850
       461          1         16'000 0.99991900
       462          1         16'041 0.99991950
       463          1         16'042 0.99992000
       464          2         16'083 0.99992100
       465          3         16'124 0.99992250
       466          2         16'166 0.99992350
       467          1         16'207 0.99992400
       468          1         16'208 0.99992450
       469          1         16'249 0.99992500
       470          2         16'250 0.99992600
       471          2         16'291 0.99992700
       472          4         16'333 0.99992900
       473          1         16'374 0.99992950
       474          1         16'375 0.99993000
       475          1         16'457 0.99993050
       476          4         16'499 0.99993250
       477          1         16'500 0.99993300
       478          1         16'541 0.99993350
       479          3         16'583 0.99993500
       480          2         16'624 0.99993600
       481          2         16'666 0.99993700
       482          1         16'707 0.99993750
       483          3         16'708 0.99993900
       484          1         16'749 0.99993950
       485          2         16'750 0.99994050
       486          1         16'791 0.99994100
       487          3         16'874 0.99994250
       488          3         16'916 0.99994400
       489          2         16'958 0.99994500
       490          1         16'999 0.99994550
       491          1         17'041 0.99994600
       492          1         17'083 0.99994650
       493          1         17'125 0.99994700
       494          2         17'166 0.99994800
       495          3         17'249 0.99994950
       496          2         17'250 0.99995050
       497          1         17'291 0.99995100
       498          2         17'332 0.99995200
       499          1         17'333 0.99995250
       500          2         17'374 0.99995350
       501          1         17'375 0.99995400
       502          2         17'416 0.99995500
       503          2         17'541 0.99995600
       504          1         17'582 0.99995650
       505          2         17'583 0.99995750
       506          1         17'625 0.99995800
       507          1         17'666 0.99995850
       508          1         17'707 0.99995900
       509          2         17'750 0.99996000
       510          1         17'791 0.99996050
       511          1         17'832 0.99996100
       512          1         17'833 0.99996150
       513          2         17'874 0.99996250
       514          2         17'958 0.99996350
       515          1         17'999 0.99996400
       516          1         18'000 0.99996450
       517          2         18'041 0.99996550
       518          2         18'083 0.99996650
       519          2         18'125 0.99996750
       520          1         18'165 0.99996800
       521          2         18'166 0.99996900
       522          1         18'207 0.99996950
       523          3         18'208 0.99997100
       524          1         18'249 0.99997150
       525          1         18'250 0.99997200
       526          2         18'291 0.99997300
       527          1         18'332 0.99997350
       528          1         18'333 0.99997400
       529          3         18'374 0.99997550
