./cpp_clockinfo_main-RPi4B-4096MiB-threads_4-LP64-Fedora_33_64bit-g++_10_O3lto-libstdc++-cpulockdown . . .
cpp_clockinfo_main version: acpphint_0.1.23


is_steady:                           true
period 'resolution' :              1 ns
duration max        :   9.223372e+18 ns
now (from epoch)    :  1.3147276e+13 ns


main thread by itself:

Clock tick is not slow relative to execution:
no zero durations observed.

Of 2'000'000 near 'back to back now()' durations:

minimum duration                     :             55 ns
(to be subtracted out from activity durations)

target approx. min actvity duration  :          1'900 ns
(with min duration still included)

target with min duration subtracted  :          1'845 ns

Other information for reference:

small scale duration variability     :             19 ns
       189          1          5'389 0.99980050
       190          2          5'407 0.99980150
       191          1          5'408 0.99980200
       192          1          5'426 0.99980250
       193          2          5'444 0.99980350
       194          1          5'481 0.99980400
       195          1          5'482 0.99980450
       196          1          5'518 0.99980500
       197          1          5'519 0.99980550
       198          1          5'537 0.99980600
       199          1          5'556 0.99980650
       200          1          5'648 0.99980700
       201          1          5'685 0.99980750
       202          1          5'722 0.99980800
       203          1          5'778 0.99980850
       204          1          5'833 0.99980900
       205          1          5'834 0.99980950
       206          1          5'870 0.99981000
       207          1          5'871 0.99981050
       208          1          5'926 0.99981100
       209          1          6'055 0.99981150
       210          3          6'074 0.99981300
       211          1          6'092 0.99981350
       212          1          6'111 0.99981400
       213          1          6'129 0.99981450
       214          1          6'130 0.99981500
       215          1          6'148 0.99981550
       216          2          6'167 0.99981650
       217          1          6'203 0.99981700
       218          5          6'222 0.99981950
       219          2          6'240 0.99982050
       220          1          6'241 0.99982100
       221          5          6'259 0.99982350
       222          2          6'260 0.99982450
       223          1          6'277 0.99982500
       224          4          6'278 0.99982700
       225          1          6'296 0.99982750
       226          3          6'314 0.99982900
       227          4          6'315 0.99983100
       228          2          6'333 0.99983200
       229          4          6'351 0.99983400
       230          2          6'352 0.99983500
       231          5          6'370 0.99983750
       232          1          6'371 0.99983800
       233          1          6'388 0.99983850
       234          8          6'389 0.99984250
       235          4          6'407 0.99984450
       236          1          6'408 0.99984500
       237          1          6'426 0.99984550
       238          4          6'444 0.99984750
       239          2          6'462 0.99984850
       240          8          6'463 0.99985250
       241          2          6'481 0.99985350
       242          2          6'482 0.99985450
       243          1          6'499 0.99985500
       244          5          6'500 0.99985750
       245          3          6'518 0.99985900
       246          3          6'519 0.99986050
       247          1          6'536 0.99986100
       248          7          6'537 0.99986450
       249          4          6'555 0.99986650
