./cpp_clockinfo_main-ThreadRipper1950X-131072MiB-threads_32-LP64-FreeBSD_13_r363590M_64bit-g++_10_O3lto-libc++-cpulockdown . . .
cpp_clockinfo_main version: acpphint_0.1.23


is_steady:                           true
period 'resolution' :              1 ns
duration max        :   9.223372e+18 ns
now (from epoch)    :  1.9285089e+14 ns


main thread by itself:

Clock tick is not slow relative to execution:
no zero durations observed.

Of 2'000'000 near 'back to back now()' durations:

minimum duration                     :             40 ns
(to be subtracted out from activity durations)

target approx. min actvity duration  :          1'000 ns
(with min duration still included)

target with min duration subtracted  :            960 ns

Other information for reference:

small scale duration variability     :             10 ns
       194          1          1'753 0.99997250
       195          2          1'754 0.99997350
       196          2          1'763 0.99997450
       197          1          1'764 0.99997500
       198          1          1'773 0.99997550
       199          4          1'774 0.99997750
       200          2          1'784 0.99997850
       201          2          1'793 0.99997950
       202          1          1'803 0.99998000
       203          1          1'814 0.99998050
       204          1          1'823 0.99998100
       205          1          1'833 0.99998150
       206          1          1'854 0.99998200
       207          1          1'863 0.99998250
       208          2          1'864 0.99998350
       209          1          1'883 0.99998400
       210          1          1'884 0.99998450
       211          1          1'893 0.99998500
       212          1          1'894 0.99998550
       213          2          1'934 0.99998650
       214          1          1'953 0.99998700
       215          1          1'954 0.99998750
       216          1          1'974 0.99998800
       217          2          1'984 0.99998900
       218          1          2'004 0.99998950
       219          1          2'034 0.99999000
       220          1          2'074 0.99999050
       221          1          2'104 0.99999100
       222          1          2'134 0.99999150
       223          1          2'205 0.99999200
       224          1          2'214 0.99999250
       225          1          2'234 0.99999300
       226          1          2'264 0.99999350
       227          1          2'315 0.99999400
       228          1          2'395 0.99999450
       229          1          2'434 0.99999500
       230          1          2'454 0.99999550
       231          1          2'495 0.99999600
       232          1          2'555 0.99999650
       233          1          4'719 0.99999700
       234          1          4'760 0.99999750
       235          1          4'830 0.99999800
       236          1          4'949 0.99999850
       237          1          4'959 0.99999900
       238          1          5'160 0.99999950
       239          1          5'581 1.00000000

