./cpp_clockinfo_main-ThreadRipper1950X-131072MiB-threads_32-LP64-FreeBSD_13_r363590M_64bit-g++_10_O3lto-libc++ . . .
cpp_clockinfo_main version: acpphint_0.1.23


is_steady:                           true
period 'resolution' :              1 ns
duration max        :   9.223372e+18 ns
now (from epoch)    :  1.8078592e+14 ns


main thread by itself:

Clock tick is not slow relative to execution:
no zero durations observed.

Of 2'000'000 near 'back to back now()' durations:

minimum duration                     :             40 ns
(to be subtracted out from activity durations)

target approx. min actvity duration  :          1'000 ns
(with min duration still included)

target with min duration subtracted  :            960 ns

Other information for reference:

small scale duration variability     :             10 ns
       196         31          1'623 0.99982800
       197          4          1'624 0.99983000
       198         27          1'633 0.99984350
       199          2          1'634 0.99984450
       200         21          1'643 0.99985500
       201          8          1'644 0.99985900
       202         23          1'653 0.99987050
       203          3          1'654 0.99987200
       204         13          1'663 0.99987850
       205          1          1'664 0.99987900
       206         14          1'673 0.99988600
       207          5          1'674 0.99988850
       208         11          1'683 0.99989400
       209          1          1'684 0.99989450
       210          8          1'693 0.99989850
       211          3          1'694 0.99990000
       212         14          1'703 0.99990700
       213          3          1'704 0.99990850
       214         11          1'713 0.99991400
       215          3          1'714 0.99991550
       216         13          1'723 0.99992200
       217          3          1'724 0.99992350
       218          7          1'733 0.99992700
       219          4          1'743 0.99992900
       220          7          1'744 0.99993250
       221          7          1'753 0.99993600
       222          8          1'754 0.99994000
       223          7          1'763 0.99994350
       224          3          1'764 0.99994500
       225          7          1'773 0.99994850
       226          3          1'774 0.99995000
       227          6          1'783 0.99995300
       228          1          1'784 0.99995350
       229          4          1'793 0.99995550
       230          4          1'794 0.99995750
       231          1          1'803 0.99995800
       232          4          1'804 0.99996000
       233          2          1'813 0.99996100
       234          3          1'814 0.99996250
       235          5          1'823 0.99996500
       236          2          1'824 0.99996600
       237          3          1'833 0.99996750
       238          2          1'834 0.99996850
       239          3          1'843 0.99997000
       240          1          1'844 0.99997050
       241          2          1'853 0.99997150
       242          4          1'863 0.99997350
       243          1          1'864 0.99997400
       244          1          1'873 0.99997450
       245          1          1'874 0.99997500
       246          2          1'884 0.99997600
       247          3          1'913 0.99997750
       248          3          1'914 0.99997900
       249          1          1'923 0.99997950
       250          1          1'933 0.99998000
       251          5          1'934 0.99998250
       252          1          1'944 0.99998300
       253          1          1'963 0.99998350
       254          1          1'964 0.99998400
       255          1          1'974 0.99998450
       256          1          2'004 0.99998500
       257          3          2'014 0.99998650
       258          1          2'043 0.99998700
       259          1          2'044 0.99998750
       260          1          2'063 0.99998800
       261          1          2'094 0.99998850
       262          2          2'114 0.99998950
       263          1          2'234 0.99999000
       264          2          2'244 0.99999100
       265          1          2'285 0.99999150
       266          1          2'385 0.99999200
       267          1          2'405 0.99999250
       268          1          2'415 0.99999300
       269          2          2'465 0.99999400
       270          1          2'484 0.99999450
       271          1          2'605 0.99999500
       272          1          3'025 0.99999550
       273          1          3'065 0.99999600
       274          1          3'537 0.99999650
       275          1          4'869 0.99999700
       276          1          5'290 0.99999750
       277          1          5'330 0.99999800
       278          1          5'370 0.99999850
       279          1          5'611 0.99999900
       280          1          6'001 0.99999950
       281          1          6'012 1.00000000

Other threads (parallel, if any):

Clock tick is not slow relative to execution:
no zero durations observed.

Of 2'000'000 near 'back to back now()' durations:

minimum duration                     :             40 ns
(to be subtracted out from activity durations)

target approx. min actvity duration  :          3'100 ns
(with min duration still included)

target with min duration subtracted  :          3'060 ns

Other information for reference:

small scale duration variability     :             31 ns

largest observed duration            :         30'538 ns
(with min duration still included)


Clock tick is not slow relative to execution:
no zero durations observed.

Of 2'000'000 near 'back to back now()' durations:

minimum duration                     :             40 ns
(to be subtracted out from activity durations)

target approx. min actvity duration  :          3'000 ns
(with min duration still included)

target with min duration subtracted  :          2'960 ns

Other information for reference:

small scale duration variability     :             30 ns

largest observed duration            :        616'369 ns
(with min duration still included)


Clock tick is not slow relative to execution:
no zero durations observed.

Of 2'000'000 near 'back to back now()' durations:

minimum duration                     :             40 ns
(to be subtracted out from activity durations)

target approx. min actvity duration  :          1'000 ns
(with min duration still included)

target with min duration subtracted  :            960 ns

Other information for reference:

small scale duration variability     :             10 ns

largest observed duration            :        209'581 ns
(with min duration still included)


Clock tick is not slow relative to execution:
no zero durations observed.

Of 2'000'000 near 'back to back now()' durations:

minimum duration                     :             40 ns
(to be subtracted out from activity durations)

target approx. min actvity duration  :          3'000 ns
(with min duration still included)

target with min duration subtracted  :          2'960 ns

Other information for reference:

small scale duration variability     :             30 ns

largest observed duration            :        455'802 ns
(with min duration still included)


Clock tick is not slow relative to execution:
no zero durations observed.

Of 2'000'000 near 'back to back now()' durations:

minimum duration                     :             40 ns
(to be subtracted out from activity durations)

target approx. min actvity duration  :          3'000 ns
(with min duration still included)

target with min duration subtracted  :          2'960 ns

Other information for reference:

small scale duration variability     :             30 ns

largest observed duration            :        580'981 ns
(with min duration still included)


Clock tick is not slow relative to execution:
no zero durations observed.

Of 2'000'000 near 'back to back now()' durations:

minimum duration                     :             40 ns
(to be subtracted out from activity durations)

target approx. min actvity duration  :          3'000 ns
(with min duration still included)

target with min duration subtracted  :          2'960 ns

Other information for reference:

small scale duration variability     :             30 ns

largest observed duration            :        629'164 ns
(with min duration still included)


Clock tick is not slow relative to execution:
no zero durations observed.

Of 2'000'000 near 'back to back now()' durations:

minimum duration                     :             40 ns
(to be subtracted out from activity durations)

target approx. min actvity duration  :          3'000 ns
(with min duration still included)

target with min duration subtracted  :          2'960 ns

Other information for reference:

small scale duration variability     :             30 ns

largest observed duration            :        666'765 ns
(with min duration still included)


Clock tick is not slow relative to execution:
no zero durations observed.

Of 2'000'000 near 'back to back now()' durations:

minimum duration                     :             40 ns
(to be subtracted out from activity durations)

target approx. min actvity duration  :          3'000 ns
(with min duration still included)

target with min duration subtracted  :          2'960 ns

Other information for reference:

small scale duration variability     :             30 ns

largest observed duration            :        593'144 ns
(with min duration still included)


Clock tick is not slow relative to execution:
no zero durations observed.

Of 2'000'000 near 'back to back now()' durations:

minimum duration                     :             40 ns
(to be subtracted out from activity durations)

target approx. min actvity duration  :          3'000 ns
(with min duration still included)

target with min duration subtracted  :          2'960 ns

Other information for reference:

small scale duration variability     :             30 ns

largest observed duration            :        562'877 ns
(with min duration still included)


Clock tick is not slow relative to execution:
no zero durations observed.

Of 2'000'000 near 'back to back now()' durations:

minimum duration                     :             40 ns
(to be subtracted out from activity durations)

target approx. min actvity duration  :          3'000 ns
(with min duration still included)

target with min duration subtracted  :          2'960 ns

Other information for reference:

small scale duration variability     :             30 ns

largest observed duration            :        745'246 ns
(with min duration still included)


Clock tick is not slow relative to execution:
no zero durations observed.

Of 2'000'000 near 'back to back now()' durations:

minimum duration                     :             40 ns
(to be subtracted out from activity durations)

target approx. min actvity duration  :          3'000 ns
(with min duration still included)

target with min duration subtracted  :          2'960 ns

Other information for reference:

small scale duration variability     :             30 ns

largest observed duration            :        427'818 ns
(with min duration still included)


Clock tick is not slow relative to execution:
no zero durations observed.

Of 2'000'000 near 'back to back now()' durations:

minimum duration                     :             40 ns
(to be subtracted out from activity durations)

target approx. min actvity duration  :          3'000 ns
(with min duration still included)

target with min duration subtracted  :          2'960 ns

Other information for reference:

small scale duration variability     :             30 ns

largest observed duration            :        653'991 ns
(with min duration still included)


Clock tick is not slow relative to execution:
no zero durations observed.

Of 2'000'000 near 'back to back now()' durations:

minimum duration                     :             40 ns
(to be subtracted out from activity durations)

target approx. min actvity duration  :          3'000 ns
(with min duration still included)

target with min duration subtracted  :          2'960 ns

Other information for reference:

small scale duration variability     :             30 ns

largest observed duration            :        449'109 ns
(with min duration still included)


Clock tick is not slow relative to execution:
no zero durations observed.

Of 2'000'000 near 'back to back now()' durations:

minimum duration                     :             40 ns
(to be subtracted out from activity durations)

target approx. min actvity duration  :          3'000 ns
(with min duration still included)

target with min duration subtracted  :          2'960 ns

Other information for reference:

small scale duration variability     :             30 ns

largest observed duration            :        500'618 ns
(with min duration still included)


Clock tick is not slow relative to execution:
no zero durations observed.

Of 2'000'000 near 'back to back now()' durations:

minimum duration                     :             40 ns
(to be subtracted out from activity durations)

target approx. min actvity duration  :          3'000 ns
(with min duration still included)

target with min duration subtracted  :          2'960 ns

Other information for reference:

small scale duration variability     :             30 ns

largest observed duration            :        429'111 ns
(with min duration still included)


Clock tick is not slow relative to execution:
no zero durations observed.

Of 2'000'000 near 'back to back now()' durations:

minimum duration                     :             40 ns
(to be subtracted out from activity durations)

target approx. min actvity duration  :          3'000 ns
(with min duration still included)

target with min duration subtracted  :          2'960 ns

Other information for reference:

small scale duration variability     :             30 ns

largest observed duration            :        698'276 ns
(with min duration still included)


Clock tick is not slow relative to execution:
no zero durations observed.

Of 2'000'000 near 'back to back now()' durations:

minimum duration                     :             50 ns
(to be subtracted out from activity durations)

target approx. min actvity duration  :          2'000 ns
(with min duration still included)

target with min duration subtracted  :          1'950 ns

Other information for reference:

small scale duration variability     :             20 ns

largest observed duration            :        688'547 ns
(with min duration still included)


Clock tick is not slow relative to execution:
no zero durations observed.

Of 2'000'000 near 'back to back now()' durations:

minimum duration                     :             50 ns
(to be subtracted out from activity durations)

target approx. min actvity duration  :          2'000 ns
(with min duration still included)

target with min duration subtracted  :          1'950 ns

Other information for reference:

small scale duration variability     :             20 ns

largest observed duration            :        885'244 ns
(with min duration still included)


Clock tick is not slow relative to execution:
no zero durations observed.

Of 2'000'000 near 'back to back now()' durations:

minimum duration                     :             50 ns
(to be subtracted out from activity durations)

target approx. min actvity duration  :          2'000 ns
(with min duration still included)

target with min duration subtracted  :          1'950 ns

Other information for reference:

small scale duration variability     :             20 ns

largest observed duration            :        520'957 ns
(with min duration still included)


Clock tick is not slow relative to execution:
no zero durations observed.

Of 2'000'000 near 'back to back now()' durations:

minimum duration                     :             50 ns
(to be subtracted out from activity durations)

target approx. min actvity duration  :          2'000 ns
(with min duration still included)

target with min duration subtracted  :          1'950 ns

Other information for reference:

small scale duration variability     :             20 ns

largest observed duration            :        518'542 ns
(with min duration still included)


Clock tick is not slow relative to execution:
no zero durations observed.

Of 2'000'000 near 'back to back now()' durations:

minimum duration                     :             50 ns
(to be subtracted out from activity durations)

target approx. min actvity duration  :          2'000 ns
(with min duration still included)

target with min duration subtracted  :          1'950 ns

Other information for reference:

small scale duration variability     :             20 ns

largest observed duration            :        654'963 ns
(with min duration still included)


Clock tick is not slow relative to execution:
no zero durations observed.

Of 2'000'000 near 'back to back now()' durations:

minimum duration                     :             50 ns
(to be subtracted out from activity durations)

target approx. min actvity duration  :          2'000 ns
(with min duration still included)

target with min duration subtracted  :          1'950 ns

Other information for reference:

small scale duration variability     :             20 ns

largest observed duration            :        571'564 ns
(with min duration still included)


Clock tick is not slow relative to execution:
no zero durations observed.

Of 2'000'000 near 'back to back now()' durations:

minimum duration                     :             50 ns
(to be subtracted out from activity durations)

target approx. min actvity duration  :          2'000 ns
(with min duration still included)

target with min duration subtracted  :          1'950 ns

Other information for reference:

small scale duration variability     :             20 ns

largest observed duration            :        498'814 ns
(with min duration still included)


Clock tick is not slow relative to execution:
no zero durations observed.

Of 2'000'000 near 'back to back now()' durations:

minimum duration                     :             40 ns
(to be subtracted out from activity durations)

target approx. min actvity duration  :          3'000 ns
(with min duration still included)

target with min duration subtracted  :          2'960 ns

Other information for reference:

small scale duration variability     :             30 ns

largest observed duration            :        521'608 ns
(with min duration still included)


Clock tick is not slow relative to execution:
no zero durations observed.

Of 2'000'000 near 'back to back now()' durations:

minimum duration                     :             40 ns
(to be subtracted out from activity durations)

target approx. min actvity duration  :          3'000 ns
(with min duration still included)

target with min duration subtracted  :          2'960 ns

Other information for reference:

small scale duration variability     :             30 ns

largest observed duration            :        603'985 ns
(with min duration still included)


Clock tick is not slow relative to execution:
no zero durations observed.

Of 2'000'000 near 'back to back now()' durations:

minimum duration                     :             50 ns
(to be subtracted out from activity durations)

target approx. min actvity duration  :          2'000 ns
(with min duration still included)

target with min duration subtracted  :          1'950 ns

Other information for reference:

small scale duration variability     :             20 ns

largest observed duration            :        638'893 ns
(with min duration still included)


Clock tick is not slow relative to execution:
no zero durations observed.

Of 2'000'000 near 'back to back now()' durations:

minimum duration                     :             50 ns
(to be subtracted out from activity durations)

target approx. min actvity duration  :          2'000 ns
(with min duration still included)

target with min duration subtracted  :          1'950 ns

Other information for reference:

small scale duration variability     :             20 ns

largest observed duration            :        579'188 ns
(with min duration still included)


Clock tick is not slow relative to execution:
no zero durations observed.

Of 2'000'000 near 'back to back now()' durations:

minimum duration                     :             50 ns
(to be subtracted out from activity durations)

target approx. min actvity duration  :          2'000 ns
(with min duration still included)

target with min duration subtracted  :          1'950 ns

Other information for reference:

small scale duration variability     :             20 ns

largest observed duration            :        436'866 ns
(with min duration still included)


Clock tick is not slow relative to execution:
no zero durations observed.

Of 2'000'000 near 'back to back now()' durations:

minimum duration                     :             50 ns
(to be subtracted out from activity durations)

target approx. min actvity duration  :          2'000 ns
(with min duration still included)

target with min duration subtracted  :          1'950 ns

Other information for reference:

small scale duration variability     :             20 ns

largest observed duration            :        715'489 ns
(with min duration still included)


Clock tick is not slow relative to execution:
no zero durations observed.

Of 2'000'000 near 'back to back now()' durations:

minimum duration                     :             50 ns
(to be subtracted out from activity durations)

target approx. min actvity duration  :          2'000 ns
(with min duration still included)

target with min duration subtracted  :          1'950 ns

Other information for reference:

small scale duration variability     :             20 ns

largest observed duration            :        855'005 ns
(with min duration still included)


Clock tick is not slow relative to execution:
no zero durations observed.

